season,week,game_id,kickoff,kickoff_mt,team,team_side,player_rank,player_id,player_name,jersey_number,games_sampled,projected_sacks,projected_qb_hits,projected_tfl,projected_blocked_punts,projected_loss_yards,penalties_per_game,penalty_count,penalty_yards
2026,2,2026_02_NO_BAL,2026-09-20 23:00:00+00:00,2026-09-20 17:00 MDT,BAL,home,8,00-0038038,K.Hamilton,14.0,28,0.29,0.68,0.89,0.0,6.96,1.0,13,102.0
2026,2,2026_02_NO_BAL,2026-09-20 23:00:00+00:00,2026-09-20 17:00 MDT,BAL,home,9,00-0040722,M.Green,15.0,13,0.27,1.08,0.54,0.0,3.92,0.0,0,0.0
2026,2,2026_02_NO_BAL,2026-09-20 23:00:00+00:00,2026-09-20 17:00 MDT,BAL,home,10,00-0034874,R.Smith,0.0,21,0.24,0.62,1.0,0.0,3.43,1.25,5,52.0
2026,2,2026_02_NO_BAL,2026-09-20 23:00:00+00:00,2026-09-20 17:00 MDT,NO,away,1,00-0027962,C.Jordan,94.0,168,0.79,1.48,1.04,0.0,10.62,1.057,37,322.0
2026,2,2026_02_NO_BAL,2026-09-20 23:00:00+00:00,2026-09-20 17:00 MDT,NO,away,2,00-0036321,C.Young,99.0,21,0.74,1.71,0.9,0.0,11.07,1.0,5,25.0
2026,2,2026_02_NO_BAL,2026-09-20 23:00:00+00:00,2026-09-20 17:00 MDT,NO,away,3,00-0039622,I.Stalbird,44.0,3,0.67,1.0,0.67,0.0,10.0,1.0,1,5.0
2026,2,2026_02_NO_BAL,2026-09-20 23:00:00+00:00,2026-09-20 17:00 MDT,NO,away,4,00-0035402,C.Granderson,96.0,53,0.65,1.32,1.0,0.0,9.11,1.067,16,143.0
2026,2,2026_02_NO_BAL,2026-09-20 23:00:00+00:00,2026-09-20 17:00 MDT,NO,away,5,00-0036867,C.Rumph,58.0,5,0.4,0.8,0.6,0.0,5.0,1.0,4,45.0
2026,2,2026_02_NO_BAL,2026-09-20 23:00:00+00:00,2026-09-20 17:00 MDT,NO,away,6,00-0034760,N.Shepherd,93.0,21,0.36,1.29,0.48,0.0,5.5,1.167,7,82.0
2026,2,2026_02_NO_BAL,2026-09-20 23:00:00+00:00,2026-09-20 17:00 MDT,NO,away,7,00-0038588,J.Howden,31.0,4,0.25,0.25,0.5,0.0,4.0,1.333,4,35.0
2026,2,2026_02_NO_BAL,2026-09-20 23:00:00+00:00,2026-09-20 17:00 MDT,NO,away,8,00-0034361,J.Reid,21.0,3,0.17,0.33,0.67,0.0,2.83,1.0,3,70.0
2026,2,2026_02_NO_BAL,2026-09-20 23:00:00+00:00,2026-09-20 17:00 MDT,NO,away,9,00-0036927,P.Werner,20.0,19,0.13,0.26,0.95,0.0,2.37,1.0,5,46.0
2026,2,2026_02_NO_BAL,2026-09-20 23:00:00+00:00,2026-09-20 17:00 MDT,NO,away,10,00-0039401,K.Boyd,97.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0
2026,2,2026_02_MIN_CHI,2026-09-21 00:00:00+00:00,2026-09-20 18:00 MDT,CHI,home,1,00-0035647,M.Sweat,98.0,29,0.74,1.52,0.9,0.0,9.38,1.0,5,35.0
2026,2,2026_02_MIN_CHI,2026-09-21 00:00:00+00:00,2026-09-20 18:00 MDT,CHI,home,2,00-0037271,D.Jackson,48.0,2,0.5,0.5,1.0,0.0,8.5,1.0,2,20.0
2026,2,2026_02_MIN_CHI,2026-09-21 00:00:00+00:00,2026-09-20 18:00 MDT,CHI,home,3,00-0039840,A.Booker,94.0,14,0.43,1.14,0.57,0.0,5.25,1.25,5,42.0
2026,2,2026_02_MIN_CHI,2026-09-21 00:00:00+00:00,2026-09-20 18:00 MDT,CHI,home,4,00-0035386,T.Edwards,53.0,22,0.32,0.77,1.0,0.0,3.59,0.0,0,0.0
2026,2,2026_02_MIN_CHI,2026-09-21 00:00:00+00:00,2026-09-20 18:00 MDT,CHI,home,5,00-0036480,D.Odeyingbo,55.0,4,0.25,1.0,0.5,0.0,1.75,2.0,2,16.0
2026,2,2026_02_MIN_CHI,2026-09-21 00:00:00+00:00,2026-09-20 18:00 MDT,CHI,home,6,00-0031583,G.Jarrett,50.0,7,0.21,1.14,0.14,0.0,1.5,1.0,2,11.0
2026,2,2026_02_MIN_CHI,2026-09-21 00:00:00+00:00,2026-09-20 18:00 MDT,CHI,home,7,00-0037843,D.Hardy,92.0,2,0.0,0.5,0.0,0.5,0.0,1.0,6,50.0
2026,2,2026_02_MIN_CHI,2026-09-21 00:00:00+00:00,2026-09-20 18:00 MDT,CHI,home,8,00-0039071,T.Stevenson,29.0,3,0.0,0.0,1.0,0.0,1.67,1.0,11,144.0
2026,2,2026_02_MIN_CHI,2026-09-21 00:00:00+00:00,2026-09-20 18:00 MDT,MIN,away,1,00-0040496,C.Chambliss,32.0,1,1.0,1.0,1.0,0.0,4.0,0.0,0,0.0
