feature,model_importance,permutation_importance,permutation_std
passing_cmppct_diff,0.0036763248,-0.00020973751761910187,0.004157531667489527
roster_jersey_number_prev_diff,0.0022444061,-0.00021210885463993634,9.609779422844093e-05
yards_proxy_diff,0.0058303825,-0.00023312321919615185,0.0020896141459444376
roster_years_exp_delta_diff,0.0021543142,-0.00024210689427914823,6.288800673215128e-05
roster_entry_year_diff,0.007108678,-0.0003186316671293987,0.00024240415936269794
roster_entry_year_rolling3_diff,0.0039089713,-0.00032019251001893514,5.833774340730871e-05
rushing_rush1stpct_diff,0.0017729391,-0.0003244881102516528,0.00038551698474111333
def_rush_plays_allowed_diff,0.002755541,-0.0003288881999880644,0.00024048388974041643
downs_rec1stpct_diff,0.0035502538,-0.00032936959011191646,0.001533372621343331
roster_weight_delta_diff,0.016578417,-0.0003356310934006457,0.00023213921938922393
rush_plays_proxy_diff,0.004192406,-0.0003437135252464252,0.0015117410930749733
snaps_offense_snaps_prev_diff,0.0037264961,-0.00034857962167389456,0.0006516237150207649
def_rush_yards_allowed_diff,0.0008712209,-0.000350906399235118,0.00028175349601816587
roster_pff_id_rolling3_diff,0.0027060458,-0.0003583996321477656,0.00010186362899575244
def_pass_yards_allowed_diff,0.004495746,-0.00035882660302928305,0.00011593557940381172
inj_doubtful_delta_diff,0.0017514889,-0.00036085554373330717,0.0004938801906994615
roster_years_exp_pct_change_diff,0.003584144,-0.00039588813671043166,0.00038204637397966086
snaps_st_pct_rolling3_diff,0.0017183914,-0.00041497420825420406,0.00031849768866724063
roof_is_dome,0.0047520795,-0.0004239984485618242,0.0012459905658004503
roster_draft_number_diff,0.004330238,-0.0004412208308835153,0.0005886637491100936
roster_years_exp_diff,0.004448436,-0.0004686131724254583,0.00026443324438659484
passing_scky_diff,0.0045133065,-0.0004975575203386873,0.001661469489042067
snaps_st_snaps_rolling3_diff,0.0037687346,-0.0004991511208386034,0.0012932825128723936
inj_listed_total_delta_diff,0.0031779208,-0.0005164028463964688,0.0027537298056335827
snaps_st_pct_prev_diff,0.0042832075,-0.0005184471658494117,0.00043285236088101556
roster_rookie_year_delta_diff,0.020866748,-0.0005251587970791282,9.282799740924509e-05
