scope,season,edge_bin,min_edge,max_edge,n_bets,home_bets,away_bets,wins,losses,pushes,hit_rate,avg_abs_edge_points,avg_signed_edge_points,avg_odds_decimal,avg_odds_american,total_profit,roi
season,2018,10+,10.0,,3,1,2,2,1,0,0.6666666666666666,11.144002825117434,-3.4549565827217337,1.9075423318819544,-45.0,0.9533962264150941,0.31779874213836473
season,2019,0-1,0.0,1.0,61,29,32,27,30,4,0.47368421052631576,0.4835187265265745,-0.019354393356235806,1.948428261190775,-63.19672131147541,-4.523994790207505,-0.07416384901979516
season,2019,1-2,1.0,2.0,63,26,37,32,30,1,0.5161290322580645,1.5386884234792688,-0.32336453038708596,1.9474333515675983,-64.68253968253968,0.25996854853906104,0.004126484897445414
season,2019,2-3,2.0,3.0,48,19,29,22,25,1,0.46808510638297873,2.4980256944678394,-0.48505053534673276,1.9391277048994298,-77.70833333333333,-4.532487571772231,-0.09442682441192148
season,2019,3-5,3.0,5.0,48,21,27,27,18,3,0.6,3.871237951582829,-0.5003941380195953,1.931988426638928,-99.25,7.3910043171466135,0.15397925660722112
season,2019,5-7,5.0,7.0,22,8,14,12,9,1,0.5714285714285714,5.786879000606259,-1.4558204074904701,1.9060747162193556,-110.54545454545455,1.8329883826446935,0.08331765375657697
season,2019,7-10,7.0,10.0,15,5,10,9,6,0,0.6,8.346527856867025,-2.775077412695826,1.9232024010231517,-95.2,2.2250433541063908,0.14833622360709273
season,2019,10+,10.0,,9,4,5,3,6,0,0.3333333333333333,11.856292243368623,-1.4583057800086796,1.9557406908401296,-60.333333333333336,-3.194263828271132,-0.3549182031412369
season,2020,0-1,0.0,1.0,63,37,26,35,28,0,0.5555555555555556,0.4972897892537295,0.0508634086949335,1.9459675559599645,-80.68253968253968,5.369039466714671,0.08522284867801065
season,2020,1-2,1.0,2.0,76,34,42,46,30,0,0.6052631578947368,1.4549756867528034,-0.17840131861726932,1.9424729981210613,-82.75,12.76258207202676,0.16792871147403632
season,2020,2-3,2.0,3.0,48,24,24,30,18,0,0.625,2.4668975755405054,-0.0487927923201474,1.9423423367581922,-77.39583333333333,10.369083963254479,0.21602258256780163
season,2020,3-5,3.0,5.0,52,20,32,23,29,0,0.4423076923076923,3.838648216245203,-0.9654345279491043,1.9294730351990714,-77.21153846153847,-8.203488625858402,-0.1577593966511231
season,2020,5-7,5.0,7.0,15,5,10,8,7,0,0.5333333333333333,5.733023710715871,-1.9693415088730875,1.8896512326042627,-112.6,0.228672495480839,0.015244833032055934
season,2020,7-10,7.0,10.0,11,3,8,7,4,0,0.6363636363636364,8.254109316214475,-3.573796478668798,1.9259503053883764,-90.18181818181819,2.441195339784765,0.2219268490713423
season,2020,10+,10.0,,3,1,2,0,3,0,0.0,11.674151004228817,-3.8372897326955955,1.9413541684019968,-106.33333333333333,-3.0,-1.0
season,2021,0-1,0.0,1.0,55,24,31,28,26,1,0.5185185185185185,0.5232677841623775,-0.09849202208899616,1.9404633415976063,-81.27272727272727,0.29180201907538983,0.005305491255916179
season,2021,1-2,1.0,2.0,70,26,44,38,32,0,0.5428571428571428,1.4922222766884834,-0.4264697230216438,1.9500951822440389,-62.8,4.096534531445298,0.05852192187778996
season,2021,2-3,2.0,3.0,58,22,36,34,24,0,0.5862068965517241,2.480335958744131,-0.622820235701512,1.9457057602734626,-64.84482758620689,8.056729551757467,0.13890913020271495
season,2021,3-5,3.0,5.0,58,15,43,35,23,0,0.603448275862069,3.901478957045354,-2.02908179567586,1.9298009405370455,-83.74137931034483,9.620003431420647,0.16586212812794218
season,2021,5-7,5.0,7.0,26,8,18,10,15,1,0.4,6.018332770906879,-2.319939974243715,1.9270402366712784,-93.0,-5.718709113101904,-0.2199503505039194
season,2021,7-10,7.0,10.0,14,3,11,5,7,2,0.4166666666666667,8.082011741926822,-4.38522521029242,1.9263906549990826,-93.92857142857143,-2.424660503863365,-0.17319003599024035
season,2021,10+,10.0,,3,0,3,0,3,0,0.0,12.01418040617902,-12.01418040617902,1.9147526731624591,-109.33333333333333,-3.0,-1.0
season,2022,0-1,0.0,1.0,63,30,33,28,34,1,0.45161290322580644,0.567107983317794,-0.06276770835138555,1.9560603722708603,-57.34920634920635,-7.462667451240053,-0.11845503890857227
season,2022,1-2,1.0,2.0,60,25,35,34,24,2,0.5862068965517241,1.4802695639231718,-0.23893605783905708,1.9649902327137359,-47.3,8.900258170588573,0.14833763617647622
season,2022,2-3,2.0,3.0,63,24,39,28,30,5,0.4827586206896552,2.5021498751344207,-0.6484760091629352,1.9528624473584189,-60.95238095238095,-3.2148352487243477,-0.0510291309321325
season,2022,3-5,3.0,5.0,72,19,53,36,35,1,0.5070422535211268,3.9170642388619714,-1.8654067153387568,1.9390742145005295,-73.59722222222223,-1.7418610249799498,-0.024192514235832636
season,2022,5-7,5.0,7.0,16,4,12,11,5,0,0.6875,5.77416556754018,-2.893668878768304,1.8737725064362452,-114.75,4.504459662847418,0.2815287289279636
season,2022,7-10,7.0,10.0,8,1,7,5,2,1,0.7142857142857143,8.34658908824185,-6.160087740215597,1.9365026571391049,-82.125,2.6999741952637972,0.33749677440797465
season,2022,10+,10.0,,0,0,0,0,0,0,,,,,,0.0,
season,2023,0-1,0.0,1.0,51,29,22,25,25,1,0.5,0.5405383124749138,0.0781406669009665,1.92585792219085,-88.6078431372549,-1.671175240407977,-0.03276814196878386
season,2023,1-2,1.0,2.0,72,33,39,26,43,3,0.37681159420289856,1.5317426531332907,-0.08711593214690803,1.9180506465235325,-86.94444444444444,-19.03887712957563,-0.2644288490218838
season,2023,2-3,2.0,3.0,78,28,50,35,38,5,0.4794520547945205,2.446897496945568,-0.657482558471258,1.911576222098444,-99.7051282051282,-6.18409037125193,-0.07928320988784525
season,2023,3-5,3.0,5.0,59,19,40,28,26,5,0.5185185185185185,3.7809920709751776,-1.3608792757698571,1.9138596013662044,-99.42372881355932,-0.6004261146334908,-0.010176713807347302
season,2023,5-7,5.0,7.0,20,3,17,10,10,0,0.5,5.724038800272783,-3.8696714749745285,1.9131872555785594,-109.55,-0.9215603237342365,-0.046078016186711826
season,2023,7-10,7.0,10.0,4,2,2,1,3,0,0.25,8.457164484731953,0.897441587575168,1.9278573089314777,-108.0,-2.130434782608696,-0.532608695652174
season,2023,10+,10.0,,1,0,1,0,1,0,0.0,11.003762672291383,-11.003762672291383,1.925925925925926,-108.0,-1.0,-1.0
